testing_performance,testing_complexity,training_performance,training_complexity,task_id,selection,split,task_type,seed
0.9884393,1098,0.92071426,1099,359960,lexicase,90%,classification,369
0.88235295,649,0.75766426,649,190146,lexicase,90%,classification,149
0.5878378,49,0.5574183,76,359959,lexicase,90%,classification,290
0.8530806,1665,0.8583967,1665,359962,lexicase,90%,classification,463
0.9479769,1263,0.9257143,1263,359960,lexicase,90%,classification,370
0.9246575,855,0.91617274,853,359958,lexicase,90%,classification,250
0.8483412,5809,0.86190754,5809,359962,lexicase,90%,classification,465
0.7027027,83541,0.61744964,8401,359954,lexicase,90%,classification,72
0.8396226,24,0.83625734,24,359956,lexicase,90%,classification,184
0.5337838,8821,0.5658005,901,359959,lexicase,90%,classification,299
0.8436019,2,0.8583967,2,359962,lexicase,90%,classification,459
0.83076924,404342,0.7302799,60452,168784,lexicase,90%,classification,419
0.85882354,384,0.7781022,73,190146,lexicase,90%,classification,121
0.7,51,0.7382716,51,168757,lexicase,90%,classification,156
0.8530806,3106,0.8624927,3106,359962,lexicase,90%,classification,460
0.6486486,12501,0.61744964,12501,359954,lexicase,90%,classification,68
0.6013514,39,0.5632858,25,359959,lexicase,90%,classification,278
0.6375839,1409,0.5823627,318,2073,lexicase,90%,classification,325
0.85507244,14852,0.8801431,2322,146818,lexicase,90%,classification,54
0.77,10,0.75185186,10,168757,lexicase,90%,classification,161
0.8301887,909,0.8561404,908,359956,lexicase,90%,classification,188
0.84705883,3,0.74452555,3,190146,lexicase,90%,classification,136
0.52307695,220101,0.697201,96101,168784,lexicase,90%,classification,391
0.82564104,410311,0.71119595,52281,168784,lexicase,90%,classification,417
0.7866667,3,0.8052805,3,359955,lexicase,90%,classification,111
0.67058825,411,0.75620437,53,190146,lexicase,90%,classification,131
0.47972974,5905,0.5532272,5905,359959,lexicase,90%,classification,298
0.8,644391,0.70229006,81731,168784,lexicase,90%,classification,394
0.7411765,401,0.7532847,401,190146,lexicase,90%,classification,128
0.8530806,12,0.85781157,12,359962,lexicase,90%,classification,464
0.9109589,66,0.9077053,71,359958,lexicase,90%,classification,243
0.86255926,34,0.8601521,34,359962,lexicase,90%,classification,471
0.6148649,30121,0.5473596,3811,359959,lexicase,90%,classification,283
0.9653179,323,0.9285714,64,359960,lexicase,90%,classification,386
1.0,531,0.9457143,526,359960,lexicase,90%,classification,363
0.84102565,412321,0.71437657,55631,168784,lexicase,90%,classification,410
0.6577181,672,0.5848586,605,2073,lexicase,90%,classification,320
0.7876712,5,0.9060119,5,359958,lexicase,90%,classification,244
0.6756757,176596,0.5872483,21476,359954,lexicase,90%,classification,85
0.94219655,203,0.93714285,203,359960,lexicase,90%,classification,385
0.8767123,9,0.91278577,14,359958,lexicase,90%,classification,242
0.5878378,77752,0.5406538,7772,359959,lexicase,90%,classification,282
0.8,144,0.78540146,144,190146,lexicase,90%,classification,142
0.8293839,2622,0.8601521,292,359962,lexicase,90%,classification,473
0.9653179,1319,0.9192857,1319,359960,lexicase,90%,classification,377
0.85507244,5,0.87477636,5,146818,lexicase,90%,classification,41
0.5472973,508,0.55574185,508,359959,lexicase,90%,classification,275
0.74666667,6,0.7920792,5,359955,lexicase,90%,classification,98
0.48,801,0.8069307,801,359955,lexicase,90%,classification,99
0.76,393,0.7641975,393,168757,lexicase,90%,classification,178
0.6621622,76566,0.61409396,10706,359954,lexicase,90%,classification,90
0.84705883,352,0.7591241,70,190146,lexicase,90%,classification,150
0.6081081,2756,0.6392617,2756,359954,lexicase,90%,classification,87
0.9248555,382,0.9357143,383,359960,lexicase,90%,classification,378
0.8,309471,0.72964376,37351,168784,lexicase,90%,classification,404
0.79710144,7976,0.8962433,6236,146818,lexicase,90%,classification,60
0.6621622,96831,0.62416106,11821,359954,lexicase,90%,classification,79
0.72,156,0.7358025,156,168757,lexicase,90%,classification,165
0.8584906,1537,0.84327483,1537,359956,lexicase,90%,classification,200
0.8,356341,0.72137403,45921,168784,lexicase,90%,classification,407
0.8,438,0.7620438,73,190146,lexicase,90%,classification,145
0.58666664,9991,0.80363035,1141,359955,lexicase,90%,classification,96
0.8102564,346282,0.68257,47562,168784,lexicase,90%,classification,393
